,aggregate_gene_expression
MAVS,6952.0
CDK12,6076.0
PXMP4,6304.0
ESRRG,7975.0
LOC110261048,5988.0
SNRNP70,6069.0
TOMM70,6688.0
PLCH1,6323.0
MAP4,7275.0
EBF1,1137.0
GCDH,6135.0
CHRAC1,6051.0
ASPRV1,6200.0
PDE1C,6201.0
HNRNPL,7831.0
LOC100519853,5748.0
LOC106505679,5929.0
LOC110255935,6118.0
ZNF470,5840.0
MSH3,6512.0
KANSL3,5848.0
AGO4,5616.0
MBD1,5800.0
ZNF581,6268.0
IL33,5056.0
PLEKHA5,6569.0
ACSS3,6658.0
PRR16,8054.0
ST7L,6056.0
LOC106509301,6523.0
ASB4,7340.0
HOMER2,7673.0
LOC110261648,2206.0
MAP2K5,6760.0
HEXIM2,5951.0
LOC102166500,6062.0
RNF207,7472.0
LRRFIP1,7544.0
LOC106504991,4782.0
HDAC9,5877.0
LOC100524391,6252.0
TMEM65,7303.0
LOC110259890,6689.0
PPP2R2B,6655.0
EID3,6078.0
FSCN2,7259.0
CHIC2,4795.0
EMC2,6498.0
ADGRD1,1629.0
CREBZF,4826.0
TMEM200A,6736.0
LOC102167067,6025.0
LOC102161584,5648.0
SIAH1,5231.0
LOC110255861,3991.0
GXYLT2,4763.0
MMP11,6393.0
LRRC2,7701.0
CDC14A,5623.0
HKDC1,5975.0
CENPJ,7061.0
LOC102162007,7403.0
JARID2,6361.0
LRCH3,6365.0
CD163,1105.0
RBM39,4831.0
ZNF81,5675.0
PYGB,6962.0
ZC3H11A,4584.0
LOC102167692,5237.0
RB1CC1,5302.0
BLCAP,6757.0
CTSC,7497.0
ANK3,7616.0
LOC110257855,5342.0
CHODL,5704.0
LOC106509692,6206.0
LOC106509733,3874.0
AKAP13,4525.0
LOC110260681,6731.0
DAP3,5360.0
TNFSF9,6996.0
LOC110257077,5602.0
DNAJA2,5509.0
FNBP4,3939.0
ZNF462,5795.0
C9H1orf186,5187.0
TTC33,5281.0
SRSF10,5675.0
RPS2,6003.0
JMJD1C,4497.0
CNOT10,7096.0
ITPRIP,5118.0
CRIPT,5644.0
LOC102164650,5569.0
SUN2,5902.0
FRMPD4,5620.0
PRICKLE2,6037.0
METAP1,5310.0
LOC102160780,5373.0
SPATA17,5861.0
UBXN2A,5073.0
MIER1,5059.0
LOC102158214,5455.0
LOC106510411,5536.0
TRAF6,6140.0
LOC102165633,4851.0
ACTN2,8778.0
MFAP5,584.0
AHNAK,3402.0
NRF1,5139.0
LOC100517194,7226.0
PPP1R12A,5685.0
AASDH,5073.0
CACNA1C,6940.0
ADPRH,5999.0
ARHGEF18,4932.0
SLU7,5053.0
UTRN,4322.0
ZNF106,7732.0
APAF1,4343.0
ZNF304,4826.0
CDNF,5459.0
XRCC4,5358.0
PHF14,5172.0
EPHB6,5376.0
LOC110256643,7044.0
MEF2C,4935.0
LOC110256084,6323.0
ACTR3,4519.0
DCLRE1B,5678.0
ZNF397,5594.0
PTGER3,8319.0
MITF,6357.0
ZCCHC8,4865.0
RUNX1T1,5237.0
SARNP,4905.0
LOC106507649,9545.0
ALDH16A1,5075.0
CCNT2,4804.0
ENTPD1,5091.0
PKNOX1,4923.0
LOC106510131,5841.0
NPTN,6409.0
PHLDB2,6043.0
IL17B,6859.0
LOC102162071,6211.0
LOC110256056,5310.0
EEF1A1,3384.0
TNS1,6154.0
LOC110259371,5357.0
SYNM,6985.0
INPP4B,6761.0
ASH1L,4207.0
ZUFSP,6282.0
SOX4,6839.0
DGKZ,5699.0
NSD3,4258.0
IGF2,908.0
LOC110260756,5193.0
ZBTB25,5706.0
SLC9B2,6491.0
MTPAP,5223.0
B3GALT5,4966.0
DOCK10,6788.0
TRAF5,5831.0
ADRA1A,5391.0
LOC110257596,5780.0
SLC5A8,5165.0
MKL2,5034.0
SLC38A9,4415.0
RPLP1,5023.0
CARS,5113.0
LOC106509455,4670.0
LOC110256765,7659.0
LOC110260244,5213.0
LRRC34,5091.0
SREK1,4801.0
LOC102157424,4977.0
SLC38A2,6053.0
ZNF197,4839.0
YTHDF2,4387.0
TIRAP,5100.0
LOC102160670,5670.0
TTC4,7351.0
LOC110261318,4894.0
SLC35B4,5713.0
CCNL2,4172.0
SRSF7,3714.0
TINF2,4607.0
PGM1,4586.0
PRPF40A,4436.0
POU1F1,6284.0
LOC110259220,4629.0
USP15,4485.0
FOXN3,5056.0
GOSR2,4960.0
RNPC3,4116.0
IL12RB2,5522.0
LOC100737511,5070.0
LOC110260809,4916.0
TMEM192,4686.0
ZNF143,5104.0
SATL1,5214.0
DCUN1D2,4855.0
CD86,5311.0
MPDZ,5856.0
TMC7,6074.0
SLC16A7,6352.0
SLMAP,6951.0
CHD9,3353.0
LOC106504205,4591.0
PCDH7,7268.0
SNAP29,4591.0
LOC102161749,4877.0
LOC110261188,6343.0
BRAF,4854.0
MKLN1,4805.0
CDH2,7515.0
SAT1,1352.0
RSRC1,4845.0
LOC100521972,5056.0
CWF19L1,5129.0
LOC100517712,4820.0
ATRX,3623.0
EIF2AK2,3605.0
GIPC2,6119.0
FMO2,2829.0
DYRK1A,5239.0
ACADSB,5354.0
KIAA0408,4490.0
ACYP1,5663.0
LCT,5109.0
YAE1D1,4431.0
TRMT10C,5079.0
ZNF35,4300.0
ERI1,4898.0
CFAP126,4271.0
ZNF292,4172.0
LOC102165834,5453.0
LOC110255744,4628.0
C14H1orf131,5077.0
LOC110257054,4081.0
LOC102165318,5415.0
ZNF41,4646.0
GLT8D1,4787.0
FGD4,4131.0
KTN1,4286.0
CEBPZOS,4746.0
LOC110260246,4698.0
TMEM236,4788.0
LOC100525417,4816.0
VPS13C,4295.0
PAPD4,4182.0
LOC100152848,4949.0
DEK,4155.0
LOC102161032,5531.0
CTNNA3,6913.0
ZBTB37,4449.0
AGO3,4594.0
GJA1,7342.0
ANKRD12,2775.0
LRRC8D,3803.0
ZDBF2,4067.0
FAM76A,4350.0
NAV2,6223.0
SLC41A1,6076.0
PPP3CC,4808.0
LOC100512977,5408.0
RBM5,3754.0
RERE,4441.0
KMT2E,3388.0
KLHL24,5780.0
RCHY1,4219.0
LOC110255459,4712.0
LOC102167697,4578.0
NUGGC,4892.0
PDLIM7,6189.0
MTMR8,4353.0
KCNJ2,5816.0
LOC100523215,4088.0
ZC3H10,4714.0
GCNT1,4628.0
ATXN1,4980.0
ACAP2,3528.0
LOC102159014,4598.0
H6PD,4708.0
LOC102165363,4710.0
MAST4,4249.0
TBCCD1,4827.0
LOC110256014,7531.0
PIP5K1A,4673.0
PER1,4331.0
TNFSF10,3465.0
GRIK1,5294.0
TMEM30A,4661.0
LOC110260332,4381.0
LOC106508127,3653.0
RHOQ,4684.0
GTF2E1,4693.0
FOXP1,3799.0
LOC102164818,4665.0
LOC110255500,4944.0
LOC106507496,4225.0
SEMA5A,2856.0
INSR,5134.0
COL4A2,2177.0
PKP2,6685.0
RBMX,4645.0
OIP5,4472.0
LOC106506539,4786.0
TRIM55,6160.0
OST4,4347.0
TMSB4X,1593.0
LOC110259416,4435.0
CYP4V2,4116.0
DPH6,4598.0
LOC110261142,4575.0
KMT2C,3666.0
DOCK7,4343.0
FRMD4A,3134.0
ZNF764,4897.0
ASB10,4948.0
CHD2,4191.0
TCF12,3643.0
LOC102163764,6147.0
LOC110256161,3266.0
PAK2,3984.0
LOC100514340,3748.0
CELF1,3422.0
LOC110260347,4019.0
LOC110261324,4254.0
ZNF146,4513.0
MPHOSPH8,3360.0
LOC110261787,4166.0
NAGK,3745.0
BRI3BP,3788.0
TPT1,4285.0
SLTM,4175.0
LOC110255297,4868.0
ARHGAP24,3104.0
LOC110255759,4994.0
SYNE1,3565.0
LOC100623639,4203.0
ZNF331,4357.0
TYK2,5274.0
LOC100624077,717.0
GEMIN2,4020.0
LOC100524923,5352.0
LOC102157791,5305.0
RIPOR2,4219.0
CRY1,4239.0
LAMC1,1756.0
GNA15,4218.0
BORCS7,4347.0
EGR1,823.0
LOC102159476,4218.0
KIF1B,4802.0
VEZT,4359.0
PLAGL1,3776.0
FOPNL,4376.0
LOC102164595,5466.0
GNAS,3067.0
GGPS1,3648.0
GRK5,5204.0
DSN1,3847.0
RFX5,4458.0
PTMA,2675.0
LOC110256034,4568.0
RETREG1,5932.0
LOC100623720,748.0
GMEB1,4113.0
NFIB,3358.0
TBL2,4091.0
CPSF6,3312.0
STXBP6,4604.0
SUSD1,4556.0
EMR4,3941.0
TRA2B,3573.0
LOC110261467,4467.0
NUP54,5527.0
LAMA4,3263.0
RPS24,4276.0
SOCS5,4533.0
PKD2,3212.0
ASAH2,3812.0
CCDC12,4000.0
LOC106507755,5344.0
LOC102167685,4203.0
NUFIP2,3058.0
KLF6,3600.0
HP1BP3,3928.0
LOC100738812,4452.0
RBM15,3876.0
LOC106506681,4119.0
THSD4,4465.0
DISP2,4373.0
RBM26,3417.0
DNMT3A,3753.0
NIN,3403.0
B3GNT6,4249.0
LINGO4,4214.0
SVIL,5382.0
CNR1,4187.0
LARP1,3771.0
WSB1,2133.0
ZNF135,4104.0
EHBP1,5702.0
LOC102165528,4436.0
LOC106507787,3733.0
ETFBKMT,3685.0
LOC110257543,4397.0
LOC100738134,3830.0
RNF135,4343.0
LPL,4612.0
FGL2,4174.0
LOC110260979,4318.0
NFIA,2734.0
GFOD1,4731.0
U2SURP,3451.0
IRS2,4739.0
ENAH,4713.0
LOC100152566,4908.0
RINT1,3480.0
TBC1D5,4114.0
ZNF283,3696.0
RAPGEF2,4425.0
POU5F2,3172.0
GDAP2,4104.0
B2M,900.0
SLC46A3,3513.0
IKZF2,3936.0
DIAPH2,3351.0
SOX5,2449.0
ZBTB8A,4076.0
LOC106505250,5014.0
ERCC6,3723.0
PPP3CB,3361.0
HNRNPF,3326.0
LOC110261321,4144.0
HELB,3761.0
LOC110260438,4796.0
LOC100624226,2103.0
GIGYF1,3630.0
PDK4,5834.0
QSER1,3510.0
UIMC1,3061.0
ZNF280D,3905.0
LOC110257189,4099.0
FBXW7,4902.0
COX7C,4970.0
VWA5A,3740.0
LARP4B,4025.0
LOC110257243,4548.0
FLNA,5318.0
HS2ST1,5582.0
PTP4A2,3981.0
LOC110260289,4012.0
TESPA1,4301.0
LOC100519643,3599.0
NAALADL2,3822.0
ENPP3,4594.0
MMRN2,3771.0
FKRP,3480.0
CHD1,3110.0
YBX3,4183.0
SNX1,3718.0
MARCH7,3543.0
BBIP1,3333.0
TARSL2,3959.0
LOC110256756,5754.0
LOC110256306,4212.0
RPE,4039.0
FAM237A,3861.0
CAMK2A,4918.0
LOC100623534,3673.0
SFXN3,4262.0
CREB5,3915.0
RPGR,3480.0
CCND1,3459.0
ZNF572,3564.0
PLSCR4,1800.0
LCORL,4556.0
PER3,3201.0
CCSER2,4026.0
SETX,2642.0
ATP6AP1L,4181.0
PPFIBP2,4444.0
TNNC1,6066.0
EPG5,3728.0
GHSR,4645.0
IL6ST,2451.0
PLXDC2,1559.0
LOC110262100,4109.0
TSPAN5,3019.0
RBPJ,1329.0
SRPK2,3629.0
FKBP5,2232.0
LRRC66,4266.0
LIN7A,3345.0
PFKFB2,4235.0
RNF8,4315.0
LOC102167078,4410.0
LOC110256614,3927.0
RPL10,3239.0
MYSM1,3455.0
TEAD1,4104.0
TXNDC16,3997.0
LOC100152209,4092.0
TESC,4979.0
TMEM245,3780.0
SIKE1,3836.0
RIMS1,4876.0
LOC102163402,3303.0
ZFP36L1,1464.0
CCDC14,3386.0
LOC100621431,3753.0
APBA3,4180.0
PDE7A,4839.0
OBSCN,5049.0
ATP5E,3868.0
RHOF,3505.0
NIPBL,2942.0
SIRT1,3740.0
LOC100511275,4043.0
CREBRF,3428.0
CD200,3750.0
SLFN11,3759.0
MRPL1,3912.0
ANK1,4499.0
RASA4B,4186.0
SPARCL1,690.0
LOC110257158,1841.0
LMNTD1,4102.0
LMBR1L,3952.0
ARHGAP28,2694.0
LUC7L,3577.0
PPIG,3172.0
SPPL2A,4134.0
KIAA0391,3623.0
CST3,1397.0
PTK2B,4136.0
SRSF11,2426.0
FAM198B,3137.0
FKBP15,3548.0
ZNF614,3780.0
ZBTB38,3638.0
MYCBP2,2653.0
PKN2,2958.0
PDE4B,4999.0
RPS8,3016.0
LOC106507881,4602.0
C14H1orf198,4235.0
RAD51B,3473.0
NFE2L2,2965.0
LOC110255190,4840.0
SLCO1A2,4135.0
RBM23,3811.0
EIF4G2,3080.0
LOC102162605,3636.0
PCGF5,5088.0
PLN,5079.0
ABCD1,4690.0
ATP2C2,5684.0
ZNF668,4031.0
NUDT9,3014.0
KDM2A,3316.0
SAMD12,4150.0
LOC106506052,3285.0
ARPP21,3872.0
BDH2,3518.0
ZZZ3,3673.0
ADAP2,3027.0
FLYWCH1,4236.0
RDH10,3816.0
TNFAIP8,3296.0
LOC100739425,2468.0
MED13L,1975.0
MBOAT2,3712.0
XRN1,2756.0
HNRNPA2B1,3056.0
THAP9,3873.0
ZNF582,3568.0
TSTD3,3888.0
LOC110260355,3775.0
PAFAH2,3586.0
MGEA5,2664.0
LOC110255435,3327.0
OMD,1836.0
RRAD,5101.0
LOC100626250,3832.0
RPS15,3003.0
MED6,3547.0
ASB16,4147.0
ENPP4,3831.0
RSRC2,2392.0
LOC100512341,3986.0
RNF223,3488.0
ZNF789,2943.0
EN1,3259.0
LOC110257277,4657.0
SCRG1,3618.0
MPHOSPH9,4155.0
ACTR8,3478.0
NMRK2,4896.0
USP45,3947.0
WIPI2,3811.0
LRIG2,3359.0
FAM126A,3117.0
ATG7,3346.0
TRAK1,3658.0
SESN1,1981.0
NFYC,3950.0
C3H2orf73,3932.0
LOC102166063,3596.0
LOC100517751,3466.0
RNF125,2629.0
CD47,3104.0
CRNKL1,3285.0
KMT2A,2483.0
ZBTB16,2897.0
CFD,484.0
AKAP14,3461.0
MLKL,3534.0
TIPIN,3311.0
PHLDB1,3319.0
ARID5B,3136.0
LOC110261284,3202.0
NID1,1831.0
HSP90B1,4701.0
TRIP11,3796.0
DENND2A,3087.0
MXRA7,3010.0
C1GALT1,3062.0
TRIM52,3129.0
XYLB,3287.0
ERBIN,2704.0
ADAMTS5,333.0
LOC102160748,3371.0
TULP4,3238.0
ZEB2,1300.0
RBM25,2834.0
ZFYVE16,2465.0
TMSB10,1945.0
RWDD2B,3217.0
LOC102161092,3483.0
ST3GAL4,2845.0
ZNF8,2931.0
LOC100516355,3302.0
BDH1,3655.0
TMEM182,4880.0
MYOM1,4754.0
CDC14B,3627.0
RAB11FIP4,5108.0
ESF1,3408.0
LOC100620498,3057.0
VPS13B,3097.0
DDX58,3224.0
USP16,3308.0
LOC100520452,3620.0
LOC100151870,3162.0
CDC42EP3,3910.0
PML,2963.0
GATA6,5133.0
GLRA3,3131.0
RPL13A,2644.0
LRRTM3,5458.0
ZNF518A,2727.0
ANKRD65,3426.0
ITM2B,1150.0
SLC16A14,3606.0
CAST,3999.0
ZNF594,3455.0
LOC110256047,3467.0
MFSD4B,3213.0
ANGEL2,2699.0
LOC100624067,3923.0
VIM,1299.0
GAPVD1,2951.0
ASB13,2970.0
RPUSD4,3386.0
TMF1,3046.0
ARHGEF6,3549.0
N4BP2L2,3244.0
LAMB2,3755.0
SLC13A5,3238.0
DNAJC16,3321.0
EFNA5,4394.0
TRAPPC8,3547.0
LOC106509622,3618.0
PPFIA1,3410.0
LOC100522281,3683.0
COG6,3068.0
CCDC186,2987.0
ZNF436,3864.0
TGFA,3257.0
TMEM72,3743.0
HNRNPLL,2984.0
CCDC82,2593.0
SPON2,451.0
ITGB1BP2,5142.0
FERMT2,3599.0
GLG1,2968.0
EPB41L5,3593.0
TET2,2259.0
ADAM7,3483.0
PPP1R12B,4050.0
LOC110261285,3225.0
KIF3B,3292.0
LOC110256702,3354.0
TBC1D32,3256.0
CIITA,3025.0
MAP7D1,3702.0
HECW1,3477.0
LOC106508724,3084.0
RNF19A,2911.0
MARCKS,628.0
LOC110255782,4815.0
FBXO25,2717.0
ISPD,3630.0
ZNF7,3323.0
EREG,3314.0
CLIC6,3122.0
ACOX1,2980.0
LOC102166622,3533.0
ATM,2507.0
RPAP3,3036.0
MALT1,3323.0
PRKAA2,4783.0
F11,3454.0
LOC110262049,4085.0
SSH1,2368.0
HPGD,928.0
DCK,3152.0
THOC2,2697.0
FZD3,3190.0
ZYG11B,3480.0
SCAF11,2266.0
LAMB1,1554.0
LOC110257026,2784.0
RPL27A,2980.0
LOC102159599,3358.0
SCAF8,2940.0
ARHGAP5,2627.0
LOC106508271,2608.0
IMMP2L,3316.0
CCNB1IP1,3667.0
BRD9,2676.0
SLC26A1,3014.0
LOC110262225,2984.0
C12H17orf80,3099.0
ADNP,2797.0
PRELID3A,3196.0
AGGF1,3078.0
SGIP1,3305.0
RGMA,1367.0
DCLK1,2450.0
AVIL,2920.0
GPR21,3064.0
ARL16,2867.0
MEST,3071.0
ATF7,2914.0
GIMAP1,1468.0
CYP27B1,3178.0
TMEM241,3404.0
RMDN2,3132.0
CACNB2,4649.0
PPP1R10,2832.0
SLA-1,727.0
ZNF333,3482.0
RBM20,4731.0
LOC110260091,3262.0
ENPP1,1460.0
CFDP1,2756.0
LOC110256637,2820.0
METTL25,2903.0
COLGALT1,3566.0
ZCCHC24,2723.0
DOCK5,3096.0
ZNF511,3030.0
LOC110259828,2928.0
GABPB2,2857.0
RPS29,3406.0
DDIT4L,4334.0
LOC102158192,3918.0
PELI1,2525.0
NEK5,3385.0
UBE2H,3747.0
ACOT13,3384.0
ELK4,2521.0
ABCC5,2169.0
DMTF1,3019.0
FTH1,2953.0
SPATA6L,3273.0
CIPC,3904.0
TXLNB,3977.0
LOC102165822,3453.0
MTERF3,2951.0
LOC102166005,2973.0
LOC100736666,3342.0
BAG4,3052.0
GALNT15,3076.0
ARF1,2695.0
RABGAP1L,2656.0
STEAP2,3678.0
RNF152,2525.0
LOC100737021,3577.0
EML4,2429.0
LANCL2,3166.0
LOC100737060,3071.0
SNX7,2700.0
CXADR,3634.0
PTP4A3,4167.0
LOC110260905,2913.0
LOC102160389,3157.0
TARDBP,2800.0
ST3GAL5,2602.0
FBXL18,2559.0
CCDC141,4172.0
UPF2,2470.0
LOC110260060,3085.0
DIRC2,3298.0
EPB41L2,502.0
GOLGB1,1989.0
SLC12A7,3965.0
CMTM7,2547.0
RHOBTB2,3319.0
SYT16,3315.0
PRR7,3721.0
LOC102163845,2931.0
POGLUT1,2722.0
ZNF662,2475.0
SERF2,2817.0
SPRY1,366.0
SRL,4490.0
NUP43,3024.0
LOC100621494,2993.0
ASB15,4217.0
JPH1,4312.0
ZNRF1,3555.0
EPB41,3545.0
DDHD2,2618.0
EMP2,3086.0
DCAF11,3418.0
FSTL1,866.0
LOC110257276,3877.0
LOC100525346,3236.0
LOC106505879,4524.0
LOC102165110,2976.0
TRIM72,2702.0
POFUT1,2652.0
PPP4R1L,2699.0
LOC110261654,3238.0
LOC100736659,3344.0
GTF2H3,3108.0
ZFC3H1,2091.0
LOC100523897,2664.0
ZC3H8,2708.0
FAM151B,3032.0
SMAD4,2550.0
MLLT6,2932.0
SUPT20H,2761.0
HECTD4,3340.0
LOC102165008,3181.0
TUBGCP6,2985.0
ZNF207,2578.0
LOC102158108,2835.0
LOC110256850,4321.0
MTFR2,3075.0
FNDC3A,1934.0
KIAA0754,3374.0
LOC100515643,2853.0
TMEM132D,2642.0
CXHXorf21,2416.0
BPTF,2288.0
VWA3B,3740.0
TM4SF19,3096.0
ATP5B,4000.0
EIF1,2017.0
LOC110259948,2785.0
STRN3,2737.0
RPS20,2698.0
NDUFS6,3708.0
LOC100739365,3666.0
ST8SIA5,2909.0
RPL23,2559.0
KLHL15,2157.0
SPAG9,2194.0
SLC25A40,2776.0
C3AR1,2359.0
NVL,3082.0
EEF2,2508.0
LOC110255743,3458.0
RMND5B,3246.0
CTGF,2953.0
NOVA1,916.0
MOB1B,2726.0
SAP18,2593.0
RPL7A,2667.0
LOC102166619,3124.0
ZBTB5,3421.0
RMDN1,2773.0
ARHGEF2,2315.0
BCL2L13,3197.0
LOC100511862,3374.0
LOC102160169,2855.0
BOD1L1,2154.0
ZNF664,3350.0
ADAL,2739.0
NDRG2,2869.0
LOC110261989,2862.0
YIPF1,2558.0
FAT1,3616.0
RNMT,2454.0
SNTB2,1800.0
LOC100524378,2750.0
C14H12orf49,3117.0
YPEL2,3239.0
LOC110260087,3370.0
FAM185A,3572.0
