,aggregate_gene_expression
RBFOX2,6221.0
YIPF4,5364.0
IGFBP5,524.0
SMG1,4865.0
LOC106506279,4855.0
LOC106508918,5896.0
SFPQ,6940.0
LIMS1,4435.0
AKAP9,6488.0
NOC3L,5106.0
GPATCH2,5061.0
HOOK3,4546.0
ARL14EP,5135.0
HIVEP2,10087.0
ZRANB2,5567.0
LPP,6488.0
LOC110261595,7062.0
LOC110257311,5048.0
NFAT5,6537.0
ITGB1,4060.0
LOC110257073,5190.0
PAG1,4732.0
UBE3A,5534.0
FAM227B,5000.0
LAMA2,3050.0
SEC61A1,4977.0
ELAC1,4637.0
LOC100521069,5917.0
PEX19,4260.0
ACSM5,5070.0
PGBD1,4321.0
LOC106508625,3264.0
LOC397451,4262.0
ENKUR,5529.0
DST,4268.0
GOLGA4,7082.0
NTRK2,7173.0
LOC106510599,4260.0
CASP10,4360.0
SLC39A14,7152.0
PRRC2C,4066.0
LOC110260596,5292.0
LOC102167727,5155.0
ADCY6,6045.0
LOC102164547,5199.0
LOC100737186,5486.0
SYNE2,3819.0
MAML2,2321.0
HNRNPU,5251.0
PNN,6137.0
CD109,5141.0
PCM1,5209.0
SPATA6,4449.0
NLRC3,4519.0
NACA,4728.0
LOC102161091,4290.0
LOC100737218,4487.0
LOC110255544,3497.0
GK,6373.0
KLF12,4143.0
UVSSA,5160.0
DGKH,3253.0
SRSF5,6353.0
LOC100520317,4389.0
MITD1,5592.0
LRMDA,4616.0
NOXRED1,3801.0
THBS1,1046.0
ZCCHC11,4729.0
LRRFIP2,5661.0
MAP3K5,5123.0
DUSP11,3786.0
LOC110255653,4631.0
HOMER1,6570.0
VAPB,4621.0
C15H2orf88,7183.0
LOC110260676,3786.0
PPM1K,6691.0
MYOZ2,6678.0
VEGFA,5972.0
OSGEPL1,5130.0
ECHDC1,4192.0
ZNF84,5233.0
MBNL1,4066.0
LOC100520512,373.0
JUN,3822.0
BTG2,788.0
PIK3R1,2162.0
LDB3,9666.0
LOC110261250,6669.0
ANKRD6,5308.0
CPEB4,6721.0
ARGLU1,4991.0
PRPF4B,3019.0
GADD45G,3460.0
KSR1,4385.0
MYL6,7713.0
ST7,4858.0
DNAJB4,5174.0
LOC110260441,4121.0
TTC5,4172.0
ZNF605,3971.0
GLUL,775.0
NRAP,6236.0
DCP1B,4164.0
LARP7,5786.0
HNRNPDL,4603.0
CIRBP,5026.0
ACER3,3834.0
EXOC4,4194.0
BCL2,3125.0
LOC100621388,4273.0
LOC100620825,3924.0
SLC6A20,4128.0
LTV1,3726.0
CTCF,4009.0
UBR2,4170.0
SASH1,3466.0
SDR42E1,3765.0
ACIN1,3957.0
NUDT6,3617.0
LOC100520273,4205.0
PCNP,4164.0
LOC100521680,2492.0
LOC110256171,4728.0
CELF2,3597.0
ZNF644,5274.0
TRPM7,5768.0
LOC100513397,4944.0
STXBP4,4963.0
RORA,3131.0
C14H10orf62,4289.0
LOC102163381,4947.0
LOC102166633,3989.0
TNIP2,3721.0
LOC110256684,3812.0
ARMC2,3164.0
LOC102165098,4073.0
LOC106506763,3586.0
EIF4A2,4135.0
PPP1R3G,3503.0
LOC106507710,4095.0
MDM4,4121.0
LOC110259451,3903.0
LOC100624329,2161.0
MYOM2,7587.0
SSR3,2768.0
RNF168,2940.0
LOC100523609,4133.0
SRRM1,4713.0
NBEAL1,2855.0
LOC110260100,4429.0
TSPAN12,6206.0
MAVS,4505.0
CDK12,4031.0
PXMP4,3840.0
ESRRG,6127.0
LOC110261048,3331.0
SNRNP70,4839.0
TOMM70,4070.0
PLCH1,4079.0
MAP4,4065.0
EBF1,1355.0
GCDH,3616.0
CHRAC1,3412.0
ASPRV1,4160.0
PDE1C,3763.0
HNRNPL,7977.0
LOC100519853,3469.0
LOC106505679,3749.0
LOC110255935,3733.0
ZNF470,3759.0
MSH3,3847.0
KANSL3,4218.0
AGO4,3305.0
MBD1,3563.0
ZNF581,4409.0
IL33,3933.0
PLEKHA5,4481.0
ACSS3,10382.0
PRR16,4464.0
ST7L,3546.0
LOC106509301,4241.0
ASB4,4886.0
HOMER2,3986.0
LOC110261648,1672.0
MAP2K5,3588.0
HEXIM2,4319.0
LOC102166500,4584.0
RNF207,8316.0
LRRFIP1,4081.0
LOC106504991,2867.0
HDAC9,4401.0
LOC100524391,4151.0
TMEM65,3875.0
LOC110259890,3521.0
PPP2R2B,3738.0
EID3,3786.0
FSCN2,5496.0
CHIC2,3067.0
EMC2,4601.0
ADGRD1,1010.0
CREBZF,4931.0
TMEM200A,4077.0
LOC102167067,2602.0
LOC102161584,3296.0
SIAH1,3166.0
LOC110255861,2721.0
GXYLT2,2707.0
MMP11,8646.0
LRRC2,5487.0
CDC14A,3478.0
HKDC1,4028.0
CENPJ,4492.0
LOC102162007,6814.0
JARID2,5131.0
LRCH3,3986.0
CD163,159.0
RBM39,4025.0
ZNF81,3420.0
PYGB,5695.0
ZC3H11A,3273.0
LOC102167692,3227.0
RB1CC1,4283.0
BLCAP,5320.0
CTSC,3269.0
ANK3,4997.0
LOC110257855,4201.0
CHODL,3343.0
LOC106509692,3577.0
LOC106509733,2458.0
AKAP13,1978.0
LOC110260681,4717.0
DAP3,4745.0
TNFSF9,5363.0
LOC110257077,3363.0
DNAJA2,3966.0
FNBP4,3476.0
ZNF462,3658.0
C9H1orf186,3407.0
TTC33,3681.0
SRSF10,5169.0
RPS2,3303.0
JMJD1C,3763.0
CNOT10,5693.0
ITPRIP,3718.0
CRIPT,3505.0
LOC102164650,4660.0
SUN2,1833.0
FRMPD4,3130.0
PRICKLE2,3912.0
METAP1,3079.0
LOC102160780,4286.0
SPATA17,3555.0
UBXN2A,2887.0
MIER1,2983.0
LOC102158214,4220.0
LOC106510411,3666.0
TRAF6,4260.0
LOC102165633,3274.0
ACTN2,8652.0
MFAP5,468.0
AHNAK,1885.0
NRF1,3311.0
LOC100517194,5805.0
PPP1R12A,5664.0
AASDH,2951.0
CACNA1C,5159.0
ADPRH,4611.0
ARHGEF18,2999.0
SLU7,3235.0
UTRN,4091.0
ZNF106,5379.0
APAF1,2899.0
ZNF304,3223.0
CDNF,3306.0
XRCC4,3742.0
PHF14,3523.0
EPHB6,3469.0
LOC110256643,1684.0
MEF2C,3084.0
LOC110256084,3339.0
ACTR3,2928.0
DCLRE1B,3256.0
ZNF397,3749.0
PTGER3,3843.0
MITF,4522.0
ZCCHC8,3355.0
RUNX1T1,4416.0
SARNP,3111.0
LOC106507649,4549.0
ALDH16A1,2858.0
CCNT2,3575.0
ENTPD1,2640.0
PKNOX1,2838.0
LOC106510131,3260.0
NPTN,4335.0
PHLDB2,4374.0
IL17B,5928.0
LOC102162071,3335.0
LOC110256056,3267.0
EEF1A1,1465.0
TNS1,5103.0
LOC110259371,3032.0
SYNM,6224.0
INPP4B,3793.0
ASH1L,3655.0
ZUFSP,3219.0
SOX4,5461.0
DGKZ,5103.0
NSD3,2917.0
IGF2,247.0
LOC110260756,3612.0
ZBTB25,3234.0
SLC9B2,6026.0
MTPAP,3202.0
B3GALT5,3527.0
DOCK10,4760.0
TRAF5,3339.0
ADRA1A,3615.0
LOC110257596,3766.0
SLC5A8,3756.0
MKL2,3270.0
SLC38A9,2741.0
RPLP1,2253.0
CARS,3711.0
LOC106509455,2784.0
LOC110256765,7124.0
LOC110260244,3614.0
LRRC34,3249.0
SREK1,3640.0
LOC102157424,3329.0
SLC38A2,3750.0
ZNF197,2707.0
YTHDF2,3213.0
TIRAP,3076.0
LOC102160670,3249.0
TTC4,6488.0
LOC110261318,3268.0
SLC35B4,3781.0
CCNL2,2863.0
SRSF7,2890.0
TINF2,2861.0
PGM1,3432.0
PRPF40A,2838.0
POU1F1,3102.0
LOC110259220,3127.0
USP15,2730.0
FOXN3,2988.0
GOSR2,2437.0
RNPC3,4131.0
IL12RB2,3923.0
LOC100737511,3502.0
LOC110260809,2879.0
TMEM192,2966.0
ZNF143,2856.0
SATL1,3655.0
DCUN1D2,3591.0
CD86,3869.0
MPDZ,2548.0
TMC7,5310.0
SLC16A7,4572.0
SLMAP,3107.0
CHD9,3830.0
LOC106504205,3276.0
PCDH7,4748.0
SNAP29,3119.0
LOC102161749,2554.0
LOC110261188,4352.0
BRAF,3573.0
MKLN1,3306.0
CDH2,3945.0
SAT1,860.0
RSRC1,2307.0
LOC100521972,3237.0
CWF19L1,3366.0
LOC100517712,2737.0
ATRX,2661.0
EIF2AK2,2495.0
GIPC2,2344.0
FMO2,1672.0
DYRK1A,3183.0
ACADSB,4001.0
KIAA0408,2696.0
ACYP1,4108.0
LCT,2872.0
YAE1D1,2403.0
TRMT10C,3648.0
ZNF35,3042.0
ERI1,2985.0
CFAP126,3020.0
ZNF292,2914.0
LOC102165834,2602.0
LOC110255744,2969.0
C14H1orf131,3365.0
LOC110257054,2264.0
LOC102165318,3644.0
ZNF41,3291.0
GLT8D1,2854.0
FGD4,2383.0
KTN1,2849.0
CEBPZOS,3472.0
LOC110260246,2907.0
TMEM236,2400.0
LOC100525417,2793.0
VPS13C,2947.0
PAPD4,3010.0
LOC100152848,3850.0
DEK,2815.0
LOC102161032,3830.0
CTNNA3,4572.0
ZBTB37,2785.0
AGO3,3139.0
GJA1,3252.0
ANKRD12,2030.0
LRRC8D,2244.0
ZDBF2,3333.0
FAM76A,3784.0
NAV2,5166.0
SLC41A1,3738.0
PPP3CC,3175.0
LOC100512977,3740.0
RBM5,3135.0
RERE,3752.0
KMT2E,2541.0
KLHL24,3561.0
RCHY1,2679.0
LOC110255459,2536.0
LOC102167697,3070.0
NUGGC,2681.0
PDLIM7,4324.0
MTMR8,3019.0
KCNJ2,3702.0
LOC100523215,2360.0
ZC3H10,2674.0
GCNT1,3072.0
ATXN1,3293.0
ACAP2,1933.0
LOC102159014,2853.0
H6PD,3115.0
LOC102165363,3497.0
MAST4,2787.0
TBCCD1,2633.0
LOC110256014,2738.0
PIP5K1A,2742.0
PER1,5038.0
TNFSF10,2116.0
GRIK1,3710.0
TMEM30A,2939.0
LOC110260332,2744.0
LOC106508127,2285.0
RHOQ,3021.0
GTF2E1,3134.0
FOXP1,2577.0
LOC102164818,3596.0
LOC110255500,2539.0
LOC106507496,2748.0
SEMA5A,2369.0
INSR,2778.0
COL4A2,1152.0
PKP2,3485.0
RBMX,4511.0
OIP5,3998.0
LOC106506539,2911.0
TRIM55,7374.0
OST4,3003.0
TMSB4X,393.0
LOC110259416,3764.0
CYP4V2,2511.0
DPH6,2967.0
LOC110261142,2912.0
KMT2C,2356.0
DOCK7,2856.0
FRMD4A,1917.0
ZNF764,3055.0
ASB10,3863.0
CHD2,3310.0
TCF12,2243.0
LOC102163764,3472.0
LOC110256161,1906.0
PAK2,2797.0
LOC100514340,3657.0
CELF1,2529.0
LOC110260347,2092.0
LOC110261324,2615.0
ZNF146,3470.0
MPHOSPH8,2315.0
LOC110261787,2597.0
NAGK,2442.0
BRI3BP,2565.0
TPT1,3127.0
SLTM,2598.0
LOC110255297,3760.0
ARHGAP24,2249.0
LOC110255759,4765.0
SYNE1,2925.0
LOC100623639,2315.0
ZNF331,2977.0
TYK2,3497.0
LOC100624077,219.0
GEMIN2,2720.0
LOC100524923,3502.0
LOC102157791,3694.0
RIPOR2,2771.0
CRY1,2707.0
LAMC1,1168.0
GNA15,2430.0
BORCS7,2896.0
EGR1,281.0
LOC102159476,3078.0
KIF1B,3483.0
VEZT,2843.0
PLAGL1,1820.0
FOPNL,2709.0
LOC102164595,3901.0
GNAS,1958.0
GGPS1,2478.0
GRK5,4210.0
DSN1,2687.0
RFX5,3171.0
PTMA,1375.0
LOC110256034,3107.0
RETREG1,4230.0
LOC100623720,532.0
GMEB1,2435.0
NFIB,1990.0
TBL2,2082.0
CPSF6,2585.0
STXBP6,3200.0
SUSD1,2744.0
EMR4,2578.0
TRA2B,2790.0
LOC110261467,3205.0
NUP54,3240.0
LAMA4,1982.0
RPS24,2695.0
SOCS5,2962.0
PKD2,1921.0
ASAH2,2757.0
CCDC12,2663.0
LOC106507755,3400.0
LOC102167685,2477.0
NUFIP2,2292.0
KLF6,1299.0
HP1BP3,2163.0
LOC100738812,2240.0
RBM15,2715.0
LOC106506681,2471.0
THSD4,2952.0
DISP2,2608.0
RBM26,2550.0
DNMT3A,2817.0
NIN,2142.0
B3GNT6,3232.0
LINGO4,2910.0
SVIL,3466.0
CNR1,1778.0
LARP1,2208.0
WSB1,1179.0
ZNF135,2586.0
EHBP1,5656.0
LOC102165528,2345.0
LOC106507787,2413.0
ETFBKMT,2330.0
LOC110257543,2964.0
LOC100738134,2688.0
RNF135,2921.0
LPL,3450.0
FGL2,3398.0
LOC110260979,3435.0
NFIA,1886.0
GFOD1,2919.0
U2SURP,2821.0
IRS2,1861.0
ENAH,2561.0
LOC100152566,4567.0
RINT1,2370.0
TBC1D5,2783.0
ZNF283,2369.0
RAPGEF2,2980.0
POU5F2,2051.0
GDAP2,2538.0
B2M,467.0
SLC46A3,1991.0
IKZF2,1433.0
DIAPH2,1849.0
SOX5,1469.0
ZBTB8A,2652.0
LOC106505250,2388.0
ERCC6,3059.0
PPP3CB,2176.0
HNRNPF,1813.0
LOC110261321,3396.0
HELB,2447.0
LOC110260438,2530.0
LOC100624226,1168.0
GIGYF1,2449.0
PDK4,11425.0
QSER1,2292.0
UIMC1,2083.0
ZNF280D,2714.0
LOC110257189,2817.0
FBXW7,9078.0
COX7C,3766.0
VWA5A,2202.0
LARP4B,2318.0
LOC110257243,3534.0
FLNA,5613.0
HS2ST1,4930.0
PTP4A2,2540.0
LOC110260289,2249.0
TESPA1,2919.0
LOC100519643,2321.0
NAALADL2,2284.0
ENPP3,2300.0
MMRN2,2355.0
FKRP,2285.0
CHD1,2463.0
YBX3,1691.0
SNX1,2394.0
MARCH7,2232.0
BBIP1,2320.0
TARSL2,3583.0
LOC110256756,4327.0
LOC110256306,2384.0
RPE,2716.0
FAM237A,2578.0
CAMK2A,7809.0
LOC100623534,2094.0
SFXN3,2711.0
CREB5,755.0
RPGR,1964.0
CCND1,2733.0
ZNF572,2536.0
PLSCR4,1101.0
LCORL,2301.0
PER3,3243.0
CCSER2,3716.0
SETX,1586.0
ATP6AP1L,4228.0
PPFIBP2,2792.0
TNNC1,3360.0
EPG5,2211.0
GHSR,2530.0
IL6ST,1339.0
PLXDC2,849.0
LOC110262100,2790.0
TSPAN5,1867.0
RBPJ,740.0
SRPK2,2560.0
FKBP5,1707.0
LRRC66,2561.0
LIN7A,2418.0
PFKFB2,3230.0
RNF8,3400.0
LOC102167078,2273.0
LOC110256614,2194.0
RPL10,2371.0
MYSM1,2268.0
TEAD1,2628.0
TXNDC16,2714.0
LOC100152209,3108.0
TESC,4618.0
TMEM245,2611.0
SIKE1,2269.0
RIMS1,3139.0
LOC102163402,2191.0
ZFP36L1,703.0
CCDC14,2048.0
LOC100621431,2002.0
APBA3,1768.0
PDE7A,4459.0
OBSCN,3051.0
ATP5E,3075.0
RHOF,2455.0
NIPBL,1835.0
SIRT1,2499.0
LOC100511275,2613.0
CREBRF,1881.0
CD200,2329.0
SLFN11,2459.0
MRPL1,2911.0
ANK1,7158.0
RASA4B,2775.0
SPARCL1,440.0
LOC110257158,1165.0
LMNTD1,1978.0
LMBR1L,2807.0
ARHGAP28,1855.0
LUC7L,2649.0
PPIG,2363.0
SPPL2A,2712.0
KIAA0391,2116.0
CST3,237.0
PTK2B,2857.0
SRSF11,1627.0
FAM198B,1804.0
FKBP15,2389.0
ZNF614,2746.0
ZBTB38,2055.0
MYCBP2,2408.0
PKN2,2159.0
PDE4B,2403.0
RPS8,1620.0
LOC106507881,3092.0
C14H1orf198,2806.0
RAD51B,1882.0
NFE2L2,2023.0
LOC110255190,2494.0
SLCO1A2,2288.0
RBM23,3034.0
EIF4G2,3049.0
LOC102162605,2545.0
PCGF5,2997.0
PLN,3176.0
ABCD1,6719.0
ATP2C2,3793.0
ZNF668,2497.0
NUDT9,2107.0
KDM2A,1910.0
SAMD12,4230.0
LOC106506052,1982.0
ARPP21,2494.0
BDH2,2321.0
ZZZ3,2999.0
ADAP2,2043.0
FLYWCH1,3071.0
RDH10,2290.0
TNFAIP8,2283.0
LOC100739425,1460.0
MED13L,1000.0
MBOAT2,2549.0
XRN1,1477.0
HNRNPA2B1,2203.0
THAP9,2632.0
ZNF582,2190.0
TSTD3,2634.0
LOC110260355,2560.0
PAFAH2,1884.0
MGEA5,1722.0
LOC110255435,2055.0
OMD,1237.0
RRAD,4252.0
LOC100626250,2419.0
RPS15,1610.0
MED6,2313.0
ASB16,2611.0
ENPP4,2347.0
RSRC2,1726.0
LOC100512341,2790.0
RNF223,2797.0
ZNF789,2116.0
EN1,4629.0
LOC110257277,5231.0
SCRG1,1897.0
MPHOSPH9,3801.0
ACTR8,2346.0
NMRK2,4624.0
USP45,2971.0
WIPI2,2722.0
LRIG2,2501.0
FAM126A,1850.0
ATG7,2305.0
TRAK1,1975.0
SESN1,1648.0
NFYC,3118.0
C3H2orf73,2815.0
LOC102166063,2430.0
LOC100517751,2196.0
RNF125,2407.0
CD47,2545.0
CRNKL1,1985.0
KMT2A,1656.0
ZBTB16,864.0
CFD,270.0
AKAP14,2380.0
MLKL,2034.0
TIPIN,2308.0
PHLDB1,2465.0
ARID5B,1099.0
LOC110261284,1881.0
NID1,1078.0
HSP90B1,1831.0
TRIP11,3505.0
DENND2A,1396.0
MXRA7,1714.0
C1GALT1,2213.0
TRIM52,2171.0
XYLB,2076.0
ERBIN,1770.0
ADAMTS5,192.0
LOC102160748,2397.0
TULP4,2969.0
ZEB2,498.0
RBM25,2102.0
ZFYVE16,1560.0
TMSB10,247.0
RWDD2B,2134.0
LOC102161092,2288.0
ST3GAL4,1598.0
ZNF8,1664.0
LOC100516355,2341.0
BDH1,2373.0
TMEM182,2837.0
MYOM1,3591.0
CDC14B,2033.0
RAB11FIP4,3084.0
ESF1,2951.0
LOC100620498,2080.0
VPS13B,2698.0
DDX58,2894.0
USP16,2066.0
LOC100520452,2172.0
LOC100151870,1880.0
CDC42EP3,2764.0
PML,1638.0
GATA6,2564.0
GLRA3,2251.0
RPL13A,1988.0
LRRTM3,3382.0
ZNF518A,1816.0
ANKRD65,2066.0
ITM2B,715.0
SLC16A14,2653.0
CAST,3450.0
ZNF594,2368.0
LOC110256047,2050.0
MFSD4B,2336.0
ANGEL2,2012.0
LOC100624067,3117.0
VIM,311.0
GAPVD1,1995.0
ASB13,1910.0
RPUSD4,2207.0
TMF1,1953.0
ARHGEF6,2316.0
N4BP2L2,2923.0
LAMB2,2769.0
SLC13A5,2165.0
DNAJC16,1882.0
EFNA5,2545.0
TRAPPC8,2446.0
LOC106509622,1783.0
PPFIA1,2858.0
LOC100522281,2121.0
COG6,1983.0
CCDC186,2680.0
ZNF436,2964.0
TGFA,2341.0
TMEM72,2817.0
HNRNPLL,2382.0
CCDC82,1746.0
SPON2,264.0
ITGB1BP2,4360.0
FERMT2,3230.0
GLG1,1775.0
EPB41L5,1619.0
TET2,1465.0
ADAM7,1817.0
PPP1R12B,2698.0
LOC110261285,2161.0
KIF3B,1795.0
LOC110256702,2012.0
TBC1D32,1886.0
CIITA,2068.0
MAP7D1,2699.0
HECW1,2397.0
LOC106508724,2148.0
RNF19A,4198.0
MARCKS,203.0
LOC110255782,4214.0
FBXO25,1717.0
ISPD,2704.0
ZNF7,2080.0
EREG,2023.0
CLIC6,1863.0
ACOX1,1890.0
LOC102166622,2465.0
ATM,1697.0
RPAP3,1616.0
MALT1,2602.0
PRKAA2,3866.0
F11,2912.0
LOC110262049,1673.0
SSH1,1366.0
HPGD,584.0
DCK,2075.0
THOC2,1851.0
FZD3,2044.0
ZYG11B,2212.0
SCAF11,1768.0
LAMB1,792.0
LOC110257026,1684.0
RPL27A,1705.0
LOC102159599,2126.0
SCAF8,2125.0
ARHGAP5,2359.0
LOC106508271,1328.0
IMMP2L,2136.0
CCNB1IP1,2876.0
BRD9,1777.0
SLC26A1,1924.0
LOC110262225,2022.0
C12H17orf80,1809.0
ADNP,1669.0
PRELID3A,2079.0
AGGF1,2194.0
SGIP1,2147.0
RGMA,886.0
DCLK1,1508.0
AVIL,1714.0
GPR21,1951.0
ARL16,2103.0
MEST,2160.0
ATF7,2219.0
GIMAP1,748.0
CYP27B1,2117.0
TMEM241,2144.0
RMDN2,2730.0
CACNB2,3162.0
PPP1R10,1909.0
SLA-1,230.0
ZNF333,2376.0
RBM20,2351.0
LOC110260091,1849.0
ENPP1,1296.0
CFDP1,1882.0
LOC110256637,1613.0
METTL25,2047.0
COLGALT1,1466.0
ZCCHC24,1601.0
DOCK5,2130.0
ZNF511,1996.0
LOC110259828,2113.0
GABPB2,1754.0
RPS29,1725.0
DDIT4L,3175.0
LOC102158192,2202.0
PELI1,1762.0
NEK5,1940.0
UBE2H,2133.0
ACOT13,3125.0
ELK4,1815.0
ABCC5,1298.0
DMTF1,2179.0
FTH1,1157.0
SPATA6L,2272.0
CIPC,2170.0
TXLNB,4740.0
LOC102165822,2009.0
MTERF3,1943.0
LOC102166005,1822.0
LOC100736666,1693.0
BAG4,2270.0
GALNT15,2016.0
ARF1,1834.0
RABGAP1L,1961.0
STEAP2,2916.0
RNF152,1516.0
LOC100737021,2967.0
EML4,2547.0
LANCL2,1838.0
LOC100737060,1828.0
SNX7,1752.0
CXADR,2673.0
PTP4A3,3340.0
LOC110260905,2112.0
LOC102160389,2312.0
TARDBP,1649.0
ST3GAL5,2355.0
FBXL18,1454.0
CCDC141,3245.0
UPF2,1773.0
LOC110260060,1878.0
DIRC2,2089.0
EPB41L2,241.0
GOLGB1,1232.0
SLC12A7,3321.0
CMTM7,1345.0
RHOBTB2,1832.0
SYT16,1976.0
PRR7,2155.0
LOC102163845,1798.0
POGLUT1,2153.0
ZNF662,1675.0
SERF2,1685.0
SPRY1,166.0
SRL,3056.0
NUP43,1800.0
LOC100621494,1945.0
ASB15,2941.0
JPH1,6282.0
ZNRF1,3946.0
EPB41,1907.0
DDHD2,1740.0
EMP2,1851.0
DCAF11,2454.0
FSTL1,465.0
LOC110257276,3468.0
LOC100525346,1989.0
LOC106505879,2513.0
LOC102165110,1702.0
TRIM72,1687.0
POFUT1,1587.0
PPP4R1L,1433.0
LOC110261654,1675.0
LOC100736659,2334.0
GTF2H3,1754.0
ZFC3H1,1749.0
LOC100523897,1657.0
ZC3H8,1928.0
FAM151B,1457.0
SMAD4,1787.0
MLLT6,1883.0
SUPT20H,2131.0
HECTD4,1662.0
LOC102165008,2166.0
TUBGCP6,1761.0
ZNF207,2575.0
LOC102158108,1964.0
LOC110256850,2747.0
MTFR2,1631.0
FNDC3A,1454.0
KIAA0754,2874.0
LOC100515643,1784.0
TMEM132D,1578.0
CXHXorf21,1380.0
BPTF,1607.0
VWA3B,2381.0
TM4SF19,1723.0
ATP5B,4025.0
EIF1,1225.0
LOC110259948,1577.0
STRN3,2346.0
RPS20,1239.0
NDUFS6,3129.0
LOC100739365,2829.0
ST8SIA5,1968.0
RPL23,1248.0
KLHL15,2070.0
SPAG9,1655.0
SLC25A40,1709.0
C3AR1,1673.0
NVL,2555.0
EEF2,1639.0
LOC110255743,2280.0
RMND5B,1854.0
CTGF,561.0
NOVA1,686.0
MOB1B,1786.0
SAP18,1722.0
RPL7A,1577.0
LOC102166619,1840.0
ZBTB5,2246.0
RMDN1,2240.0
ARHGEF2,1458.0
BCL2L13,1890.0
LOC100511862,2635.0
LOC102160169,1954.0
BOD1L1,1588.0
ZNF664,2096.0
ADAL,1674.0
NDRG2,3297.0
LOC110261989,1683.0
YIPF1,1652.0
FAT1,2059.0
RNMT,1758.0
SNTB2,1415.0
LOC100524378,1955.0
C14H12orf49,2187.0
YPEL2,2172.0
LOC110260087,2076.0
FAM185A,2262.0
ARHGEF11,1162.0
TOB2,2627.0
