,aggregate_gene_expression
SLC6A20,5590.0
LTV1,7302.0
CTCF,5366.0
UBR2,6748.0
SASH1,6483.0
SDR42E1,6088.0
ACIN1,8596.0
NUDT6,5384.0
LOC100520273,6273.0
PCNP,5874.0
LOC100521680,4927.0
LOC110256171,5440.0
CELF2,5877.0
ZNF644,6453.0
TRPM7,5798.0
LOC100513397,6076.0
STXBP4,6345.0
RORA,3545.0
C14H10orf62,5329.0
LOC102163381,6689.0
LOC102166633,6345.0
TNIP2,5701.0
LOC110256684,5541.0
ARMC2,3397.0
LOC102165098,5568.0
LOC106506763,5222.0
EIF4A2,4175.0
PPP1R3G,6723.0
LOC106507710,4813.0
MDM4,5370.0
LOC110259451,5863.0
LOC100624329,3966.0
MYOM2,1862.0
SSR3,5704.0
RNF168,5889.0
LOC100523609,5957.0
SRRM1,7154.0
NBEAL1,6105.0
LOC110260100,4753.0
TSPAN12,3843.0
MAVS,4371.0
CDK12,6669.0
PXMP4,6805.0
ESRRG,5813.0
LOC110261048,5252.0
SNRNP70,8142.0
TOMM70,7300.0
PLCH1,5506.0
MAP4,4041.0
EBF1,1129.0
GCDH,6814.0
CHRAC1,4821.0
ASPRV1,5176.0
PDE1C,5132.0
HNRNPL,15172.0
LOC100519853,4991.0
LOC106505679,5406.0
LOC110255935,5573.0
ZNF470,5198.0
MSH3,5976.0
KANSL3,5579.0
AGO4,5462.0
MBD1,5009.0
ZNF581,5554.0
IL33,5502.0
PLEKHA5,6926.0
ACSS3,5159.0
PRR16,11640.0
ST7L,5886.0
LOC106509301,7317.0
ASB4,5239.0
HOMER2,6692.0
LOC110261648,1654.0
MAP2K5,5993.0
HEXIM2,5982.0
LOC102166500,6209.0
RNF207,12180.0
LRRFIP1,6113.0
LOC106504991,5820.0
HDAC9,7875.0
LOC100524391,6808.0
TMEM65,7689.0
LOC110259890,8529.0
PPP2R2B,6022.0
EID3,4875.0
FSCN2,1924.0
CHIC2,4926.0
EMC2,7096.0
ADGRD1,5496.0
CREBZF,8503.0
TMEM200A,5305.0
LOC102167067,4776.0
LOC102161584,4814.0
SIAH1,4616.0
LOC110255861,3011.0
GXYLT2,6089.0
MMP11,6419.0
LRRC2,3092.0
CDC14A,6020.0
HKDC1,5560.0
CENPJ,6977.0
LOC102162007,14045.0
JARID2,8819.0
LRCH3,9748.0
CD163,241.0
RBM39,4889.0
ZNF81,4899.0
PYGB,3853.0
ZC3H11A,4710.0
LOC102167692,4853.0
RB1CC1,4677.0
BLCAP,7373.0
CTSC,3788.0
ANK3,6498.0
LOC110257855,5323.0
CHODL,5459.0
LOC106509692,4413.0
LOC106509733,3255.0
AKAP13,3706.0
LOC110260681,4135.0
DAP3,5265.0
TNFSF9,4609.0
LOC110257077,5362.0
DNAJA2,6422.0
FNBP4,4205.0
ZNF462,7504.0
C9H1orf186,5921.0
TTC33,5600.0
SRSF10,9071.0
RPS2,10559.0
JMJD1C,5965.0
CNOT10,4615.0
ITPRIP,4864.0
CRIPT,5351.0
LOC102164650,7911.0
SUN2,1497.0
FRMPD4,5265.0
PRICKLE2,4097.0
METAP1,5196.0
LOC102160780,4319.0
SPATA17,4595.0
UBXN2A,4730.0
MIER1,4869.0
LOC102158214,5508.0
LOC106510411,4872.0
TRAF6,7743.0
LOC102165633,5114.0
ACTN2,6495.0
MFAP5,1142.0
AHNAK,3190.0
NRF1,5010.0
LOC100517194,5689.0
PPP1R12A,8326.0
AASDH,5621.0
CACNA1C,6971.0
ADPRH,5458.0
ARHGEF18,4570.0
SLU7,5152.0
UTRN,7383.0
ZNF106,8065.0
APAF1,4432.0
ZNF304,4913.0
CDNF,4901.0
XRCC4,6011.0
PHF14,4905.0
EPHB6,4963.0
LOC110256643,720.0
MEF2C,7830.0
LOC110256084,5068.0
ACTR3,5078.0
DCLRE1B,4431.0
ZNF397,5149.0
PTGER3,7807.0
MITF,5812.0
ZCCHC8,4341.0
RUNX1T1,5105.0
SARNP,4870.0
LOC106507649,7116.0
ALDH16A1,4759.0
CCNT2,4384.0
ENTPD1,4860.0
PKNOX1,4157.0
LOC106510131,4580.0
NPTN,4162.0
PHLDB2,3609.0
IL17B,6534.0
LOC102162071,1418.0
LOC110256056,4752.0
EEF1A1,4179.0
TNS1,4056.0
LOC110259371,4621.0
SYNM,2902.0
INPP4B,7454.0
ASH1L,3997.0
ZUFSP,4358.0
SOX4,15461.0
DGKZ,1706.0
NSD3,4753.0
IGF2,818.0
LOC110260756,4702.0
ZBTB25,7314.0
SLC9B2,6368.0
MTPAP,5794.0
B3GALT5,5069.0
DOCK10,4941.0
TRAF5,5126.0
ADRA1A,4515.0
LOC110257596,4575.0
SLC5A8,4689.0
MKL2,4774.0
SLC38A9,4610.0
RPLP1,11942.0
CARS,5092.0
LOC106509455,4232.0
LOC110256765,8253.0
LOC110260244,4103.0
LRRC34,4655.0
SREK1,5505.0
LOC102157424,4038.0
SLC38A2,7587.0
ZNF197,4838.0
YTHDF2,5106.0
TIRAP,5711.0
LOC102160670,3862.0
TTC4,4250.0
LOC110261318,4395.0
SLC35B4,5323.0
CCNL2,3972.0
SRSF7,4410.0
TINF2,5960.0
PGM1,4456.0
PRPF40A,4535.0
POU1F1,5432.0
LOC110259220,3835.0
USP15,4429.0
FOXN3,4161.0
GOSR2,4327.0
RNPC3,5252.0
IL12RB2,4665.0
LOC100737511,4704.0
LOC110260809,4535.0
TMEM192,5137.0
ZNF143,3747.0
SATL1,5337.0
DCUN1D2,4442.0
CD86,4503.0
MPDZ,3928.0
TMC7,4715.0
SLC16A7,4375.0
SLMAP,3503.0
CHD9,6257.0
LOC106504205,4806.0
PCDH7,5687.0
SNAP29,4553.0
LOC102161749,3707.0
LOC110261188,7601.0
BRAF,5351.0
MKLN1,5453.0
CDH2,10284.0
SAT1,1464.0
RSRC1,4364.0
LOC100521972,5148.0
CWF19L1,4949.0
LOC100517712,4193.0
ATRX,3929.0
EIF2AK2,3308.0
GIPC2,3638.0
FMO2,2052.0
DYRK1A,4329.0
ACADSB,4973.0
KIAA0408,3259.0
ACYP1,2896.0
LCT,6241.0
YAE1D1,3018.0
TRMT10C,4806.0
ZNF35,4670.0
ERI1,5078.0
CFAP126,4328.0
ZNF292,3654.0
LOC102165834,3735.0
LOC110255744,4487.0
C14H1orf131,5478.0
LOC110257054,3367.0
LOC102165318,4046.0
ZNF41,4842.0
GLT8D1,5451.0
FGD4,2803.0
KTN1,7113.0
CEBPZOS,4412.0
LOC110260246,4534.0
TMEM236,3559.0
LOC100525417,4102.0
VPS13C,3948.0
PAPD4,4681.0
LOC100152848,5635.0
DEK,4932.0
LOC102161032,3464.0
CTNNA3,8895.0
ZBTB37,4551.0
AGO3,6001.0
GJA1,8103.0
ANKRD12,2192.0
LRRC8D,3776.0
ZDBF2,3788.0
FAM76A,5079.0
NAV2,5793.0
SLC41A1,3869.0
PPP3CC,4304.0
LOC100512977,4632.0
RBM5,2734.0
RERE,4703.0
KMT2E,3090.0
KLHL24,5107.0
RCHY1,4097.0
LOC110255459,3636.0
LOC102167697,5518.0
NUGGC,3173.0
PDLIM7,6469.0
MTMR8,4309.0
KCNJ2,6929.0
LOC100523215,3688.0
ZC3H10,7001.0
GCNT1,4610.0
ATXN1,5245.0
ACAP2,3594.0
LOC102159014,4016.0
H6PD,4790.0
LOC102165363,4252.0
MAST4,4592.0
TBCCD1,3220.0
LOC110256014,4620.0
PIP5K1A,3707.0
PER1,2845.0
TNFSF10,2822.0
GRIK1,4245.0
TMEM30A,4126.0
LOC110260332,5241.0
LOC106508127,2803.0
RHOQ,4492.0
GTF2E1,4118.0
FOXP1,4898.0
LOC102164818,4144.0
LOC110255500,3024.0
LOC106507496,4803.0
SEMA5A,3675.0
INSR,3392.0
COL4A2,2221.0
PKP2,8423.0
RBMX,4102.0
OIP5,4126.0
LOC106506539,4400.0
TRIM55,6871.0
OST4,5382.0
TMSB4X,731.0
LOC110259416,2715.0
CYP4V2,4163.0
DPH6,4179.0
LOC110261142,4281.0
KMT2C,2572.0
DOCK7,3814.0
FRMD4A,3592.0
ZNF764,5148.0
ASB10,3683.0
CHD2,4121.0
TCF12,4034.0
LOC102163764,4421.0
LOC110256161,3128.0
PAK2,3955.0
LOC100514340,1677.0
CELF1,4012.0
LOC110260347,4089.0
LOC110261324,4301.0
ZNF146,4409.0
MPHOSPH8,3647.0
LOC110261787,4289.0
NAGK,3347.0
BRI3BP,4364.0
TPT1,6085.0
SLTM,4039.0
LOC110255297,4300.0
ARHGAP24,2746.0
LOC110255759,4252.0
SYNE1,4050.0
LOC100623639,4330.0
ZNF331,4345.0
TYK2,2676.0
LOC100624077,290.0
GEMIN2,3969.0
LOC100524923,2985.0
LOC102157791,2877.0
RIPOR2,4129.0
CRY1,5039.0
LAMC1,1941.0
GNA15,3704.0
BORCS7,4681.0
EGR1,762.0
LOC102159476,3943.0
KIF1B,4489.0
VEZT,4068.0
PLAGL1,2322.0
FOPNL,4089.0
LOC102164595,5477.0
GNAS,2786.0
GGPS1,4099.0
GRK5,4479.0
DSN1,4042.0
RFX5,4262.0
PTMA,3052.0
LOC110256034,4780.0
RETREG1,3289.0
LOC100623720,926.0
GMEB1,3691.0
NFIB,4630.0
TBL2,3641.0
CPSF6,3683.0
STXBP6,5134.0
SUSD1,4159.0
EMR4,4103.0
TRA2B,3899.0
LOC110261467,3835.0
NUP54,1637.0
LAMA4,3388.0
RPS24,5951.0
SOCS5,4490.0
PKD2,2884.0
ASAH2,3492.0
CCDC12,4554.0
LOC106507755,3118.0
LOC102167685,5458.0
NUFIP2,3096.0
KLF6,770.0
HP1BP3,2897.0
LOC100738812,2848.0
RBM15,4654.0
LOC106506681,3473.0
THSD4,4672.0
DISP2,3576.0
RBM26,3443.0
DNMT3A,3696.0
NIN,3387.0
B3GNT6,3750.0
LINGO4,4305.0
SVIL,6414.0
CNR1,4037.0
LARP1,4949.0
WSB1,1138.0
ZNF135,3621.0
EHBP1,8460.0
LOC102165528,4728.0
LOC106507787,4305.0
ETFBKMT,3486.0
LOC110257543,4033.0
LOC100738134,3855.0
RNF135,4306.0
LPL,3307.0
FGL2,5206.0
LOC110260979,3872.0
NFIA,3412.0
GFOD1,3339.0
U2SURP,4018.0
IRS2,927.0
ENAH,4275.0
LOC100152566,5491.0
RINT1,3990.0
TBC1D5,4187.0
ZNF283,3729.0
RAPGEF2,5967.0
POU5F2,2739.0
GDAP2,3426.0
B2M,454.0
SLC46A3,3098.0
IKZF2,5384.0
DIAPH2,3589.0
SOX5,2321.0
ZBTB8A,4783.0
LOC106505250,2450.0
ERCC6,3189.0
PPP3CB,4017.0
HNRNPF,2726.0
LOC110261321,4154.0
HELB,3384.0
LOC110260438,4449.0
LOC100624226,1635.0
GIGYF1,4039.0
PDK4,6792.0
QSER1,3917.0
UIMC1,3825.0
ZNF280D,3864.0
LOC110257189,3426.0
FBXW7,4638.0
COX7C,9113.0
VWA5A,3590.0
LARP4B,3062.0
LOC110257243,4665.0
FLNA,2504.0
HS2ST1,6842.0
PTP4A2,3784.0
LOC110260289,3281.0
TESPA1,4120.0
LOC100519643,3986.0
NAALADL2,4084.0
ENPP3,2090.0
MMRN2,3669.0
FKRP,3475.0
CHD1,4874.0
YBX3,1852.0
SNX1,3501.0
MARCH7,2512.0
BBIP1,3389.0
TARSL2,4433.0
LOC110256756,6784.0
LOC110256306,3888.0
RPE,3520.0
FAM237A,4001.0
CAMK2A,2208.0
LOC100623534,2558.0
SFXN3,3077.0
CREB5,2168.0
RPGR,2927.0
CCND1,2574.0
ZNF572,3385.0
PLSCR4,1663.0
LCORL,4475.0
PER3,3286.0
CCSER2,4804.0
SETX,2415.0
ATP6AP1L,16365.0
PPFIBP2,3678.0
TNNC1,9812.0
EPG5,3514.0
GHSR,3290.0
IL6ST,3057.0
PLXDC2,1166.0
LOC110262100,3822.0
TSPAN5,2997.0
RBPJ,1639.0
SRPK2,4909.0
FKBP5,1971.0
LRRC66,3480.0
LIN7A,3233.0
PFKFB2,3745.0
RNF8,3367.0
LOC102167078,3465.0
LOC110256614,3629.0
RPL10,5032.0
MYSM1,2884.0
TEAD1,3297.0
TXNDC16,3468.0
LOC100152209,4635.0
TESC,5172.0
TMEM245,3097.0
SIKE1,3930.0
RIMS1,2412.0
LOC102163402,3074.0
ZFP36L1,1506.0
CCDC14,3946.0
LOC100621431,2704.0
APBA3,3556.0
PDE7A,3421.0
OBSCN,3204.0
ATP5E,6268.0
RHOF,6299.0
NIPBL,2381.0
SIRT1,2853.0
LOC100511275,3568.0
CREBRF,2431.0
CD200,3224.0
SLFN11,3781.0
MRPL1,4610.0
ANK1,1163.0
RASA4B,4114.0
SPARCL1,750.0
LOC110257158,1660.0
LMNTD1,4907.0
LMBR1L,3167.0
ARHGAP28,2380.0
LUC7L,4963.0
PPIG,3218.0
SPPL2A,3580.0
KIAA0391,3252.0
CST3,1608.0
PTK2B,2489.0
SRSF11,1782.0
FAM198B,2927.0
FKBP15,3022.0
ZNF614,3574.0
ZBTB38,4611.0
MYCBP2,3279.0
PKN2,3896.0
PDE4B,3256.0
RPS8,5482.0
LOC106507881,3406.0
C14H1orf198,3926.0
RAD51B,4203.0
NFE2L2,2802.0
LOC110255190,4421.0
SLCO1A2,3569.0
RBM23,2880.0
EIF4G2,3117.0
LOC102162605,3131.0
PCGF5,4328.0
PLN,5992.0
ABCD1,6292.0
ATP2C2,7001.0
ZNF668,3363.0
NUDT9,3504.0
KDM2A,3128.0
SAMD12,4385.0
LOC106506052,2842.0
ARPP21,3249.0
BDH2,3219.0
ZZZ3,4027.0
ADAP2,2700.0
FLYWCH1,5118.0
RDH10,3470.0
TNFAIP8,2796.0
LOC100739425,3708.0
MED13L,2202.0
MBOAT2,3383.0
XRN1,2478.0
HNRNPA2B1,2942.0
THAP9,3859.0
ZNF582,3584.0
TSTD3,4042.0
LOC110260355,2701.0
PAFAH2,3403.0
MGEA5,2204.0
LOC110255435,2970.0
OMD,1899.0
RRAD,3016.0
LOC100626250,5408.0
RPS15,6018.0
MED6,3895.0
ASB16,3996.0
ENPP4,4336.0
RSRC2,2511.0
LOC100512341,2880.0
RNF223,3564.0
ZNF789,3092.0
EN1,1837.0
LOC110257277,4094.0
SCRG1,3073.0
MPHOSPH9,2355.0
ACTR8,2689.0
NMRK2,1812.0
USP45,4233.0
WIPI2,2756.0
LRIG2,3112.0
FAM126A,3698.0
ATG7,3400.0
TRAK1,2985.0
SESN1,3285.0
NFYC,4292.0
C3H2orf73,3770.0
LOC102166063,3604.0
LOC100517751,3330.0
RNF125,2305.0
CD47,3112.0
CRNKL1,2812.0
KMT2A,2449.0
ZBTB16,2101.0
CFD,236.0
AKAP14,2950.0
MLKL,3549.0
TIPIN,3564.0
PHLDB1,3548.0
ARID5B,1331.0
LOC110261284,3652.0
NID1,1314.0
HSP90B1,8288.0
TRIP11,6349.0
DENND2A,2571.0
MXRA7,3287.0
C1GALT1,3626.0
TRIM52,4154.0
XYLB,3596.0
ERBIN,3614.0
ADAMTS5,388.0
LOC102160748,4560.0
TULP4,5772.0
ZEB2,1044.0
RBM25,3439.0
ZFYVE16,2893.0
TMSB10,1435.0
RWDD2B,3501.0
LOC102161092,3525.0
ST3GAL4,2543.0
ZNF8,2596.0
LOC100516355,3683.0
BDH1,2630.0
TMEM182,5171.0
MYOM1,5477.0
CDC14B,3471.0
RAB11FIP4,3881.0
ESF1,3778.0
LOC100620498,3515.0
VPS13B,3101.0
DDX58,3303.0
USP16,3584.0
LOC100520452,3173.0
LOC100151870,2782.0
CDC42EP3,6174.0
PML,3123.0
GATA6,4372.0
GLRA3,3498.0
RPL13A,3908.0
LRRTM3,4764.0
ZNF518A,2415.0
ANKRD65,3671.0
ITM2B,2109.0
SLC16A14,3352.0
CAST,4000.0
ZNF594,3911.0
LOC110256047,3333.0
MFSD4B,3235.0
ANGEL2,2789.0
LOC100624067,10605.0
VIM,1514.0
GAPVD1,2721.0
ASB13,2530.0
RPUSD4,3272.0
TMF1,3257.0
ARHGEF6,4490.0
N4BP2L2,4167.0
LAMB2,3961.0
SLC13A5,3060.0
DNAJC16,3089.0
EFNA5,7294.0
TRAPPC8,3171.0
LOC106509622,1898.0
PPFIA1,2932.0
LOC100522281,2569.0
COG6,3236.0
CCDC186,3674.0
ZNF436,3081.0
TGFA,2821.0
TMEM72,3073.0
HNRNPLL,2756.0
CCDC82,3006.0
SPON2,840.0
ITGB1BP2,6476.0
FERMT2,3705.0
GLG1,3635.0
EPB41L5,3280.0
TET2,2612.0
ADAM7,3090.0
PPP1R12B,2580.0
LOC110261285,3714.0
KIF3B,2885.0
LOC110256702,3701.0
TBC1D32,2761.0
CIITA,2853.0
MAP7D1,3805.0
HECW1,3341.0
LOC106508724,2931.0
RNF19A,2391.0
MARCKS,566.0
LOC110255782,3554.0
FBXO25,3072.0
ISPD,3308.0
ZNF7,3356.0
EREG,3622.0
CLIC6,2705.0
ACOX1,2972.0
LOC102166622,3506.0
ATM,2918.0
RPAP3,2272.0
MALT1,2899.0
PRKAA2,5198.0
F11,3516.0
LOC110262049,1864.0
SSH1,2625.0
HPGD,947.0
DCK,3267.0
THOC2,2448.0
FZD3,3135.0
ZYG11B,3297.0
SCAF11,2225.0
LAMB1,1327.0
LOC110257026,2373.0
RPL27A,4458.0
LOC102159599,2627.0
SCAF8,2758.0
ARHGAP5,3156.0
LOC106508271,2319.0
IMMP2L,3058.0
CCNB1IP1,3565.0
BRD9,2559.0
SLC26A1,2624.0
LOC110262225,3277.0
C12H17orf80,3160.0
ADNP,2970.0
PRELID3A,3744.0
AGGF1,3116.0
SGIP1,2910.0
RGMA,1406.0
DCLK1,2945.0
AVIL,2182.0
GPR21,2752.0
ARL16,2846.0
MEST,2994.0
ATF7,3149.0
GIMAP1,1340.0
CYP27B1,2675.0
TMEM241,2370.0
RMDN2,2217.0
CACNB2,8043.0
PPP1R10,3512.0
SLA-1,462.0
ZNF333,3779.0
RBM20,3436.0
LOC110260091,2452.0
ENPP1,1631.0
CFDP1,3541.0
LOC110256637,2813.0
METTL25,3391.0
COLGALT1,1562.0
ZCCHC24,2171.0
DOCK5,3433.0
ZNF511,3247.0
LOC110259828,2690.0
GABPB2,2804.0
RPS29,5014.0
DDIT4L,6060.0
LOC102158192,3531.0
PELI1,1911.0
NEK5,3192.0
UBE2H,3478.0
ACOT13,4288.0
ELK4,3141.0
ABCC5,2825.0
DMTF1,2901.0
FTH1,4184.0
SPATA6L,3245.0
CIPC,2119.0
TXLNB,5912.0
LOC102165822,3078.0
MTERF3,3517.0
LOC102166005,3044.0
LOC100736666,2814.0
BAG4,2959.0
GALNT15,2777.0
ARF1,2367.0
RABGAP1L,2571.0
STEAP2,3398.0
RNF152,2747.0
LOC100737021,4283.0
EML4,1758.0
LANCL2,2110.0
LOC100737060,3109.0
SNX7,3098.0
CXADR,3928.0
PTP4A3,2492.0
LOC110260905,2823.0
LOC102160389,3126.0
TARDBP,2827.0
ST3GAL5,2262.0
FBXL18,2402.0
CCDC141,6451.0
UPF2,3743.0
LOC110260060,2451.0
DIRC2,3233.0
EPB41L2,391.0
GOLGB1,1780.0
SLC12A7,3620.0
CMTM7,1967.0
RHOBTB2,3153.0
SYT16,3292.0
PRR7,1028.0
LOC102163845,2968.0
POGLUT1,3468.0
ZNF662,2420.0
SERF2,3635.0
SPRY1,239.0
SRL,5475.0
NUP43,2822.0
LOC100621494,2824.0
ASB15,2772.0
JPH1,4038.0
ZNRF1,2515.0
EPB41,3065.0
DDHD2,3151.0
EMP2,2867.0
DCAF11,2444.0
FSTL1,842.0
LOC110257276,3807.0
LOC100525346,3141.0
LOC106505879,2060.0
LOC102165110,2791.0
TRIM72,2953.0
POFUT1,2529.0
PPP4R1L,2347.0
LOC110261654,3282.0
LOC100736659,3275.0
GTF2H3,3053.0
ZFC3H1,3229.0
LOC100523897,2360.0
ZC3H8,3045.0
FAM151B,2979.0
SMAD4,2766.0
MLLT6,1574.0
SUPT20H,3302.0
HECTD4,3034.0
LOC102165008,3225.0
TUBGCP6,2960.0
ZNF207,3097.0
LOC102158108,3105.0
LOC110256850,2623.0
MTFR2,3105.0
FNDC3A,2450.0
KIAA0754,4098.0
LOC100515643,2432.0
TMEM132D,2476.0
CXHXorf21,2209.0
BPTF,2400.0
VWA3B,2371.0
TM4SF19,2447.0
ATP5B,10535.0
EIF1,2980.0
LOC110259948,2217.0
STRN3,4094.0
RPS20,3633.0
NDUFS6,3983.0
LOC100739365,4032.0
ST8SIA5,2633.0
RPL23,3326.0
KLHL15,3613.0
SPAG9,3223.0
SLC25A40,3059.0
C3AR1,1997.0
NVL,3034.0
EEF2,2638.0
LOC110255743,4206.0
RMND5B,3309.0
CTGF,1005.0
NOVA1,1953.0
MOB1B,2750.0
SAP18,3212.0
RPL7A,4724.0
LOC102166619,2599.0
ZBTB5,2856.0
RMDN1,2968.0
ARHGEF2,3404.0
BCL2L13,2733.0
LOC100511862,4415.0
LOC102160169,2627.0
BOD1L1,2545.0
ZNF664,4400.0
ADAL,3214.0
NDRG2,2443.0
LOC110261989,2988.0
YIPF1,2458.0
FAT1,2933.0
RNMT,2650.0
SNTB2,2289.0
LOC100524378,2335.0
C14H12orf49,2328.0
YPEL2,1739.0
LOC110260087,3074.0
FAM185A,2647.0
